blue,green,red,red1,red2,red3,nir,red4,swir1,swir2,doy
6543,6750,7055,7422,7332,7178,7100,7042,920,892,2
4090,4361,4850,5027,4898,4921,4900,4979,772,597,4
498,803,1265,1444,1482,1720,1875,1937,2601,1898,14
8339,8366,8759,8982,8848,8562,8971,8695,1586,1694,39
9706,9584,9764,10349,10092,9654,9675,9355,1093,1263,52
9761,9607,9707,10357,9915,9628,9495,9179,1159,1217,54
9508,9575,9753,10267,9970,9666,9603,9416,1216,1307,59
8676,8722,8907,9429,9000,8884,8891,8519,891,908,64
9652,9453,9653,10115,9868,9487,9557,9200,930,1045,69
9653,9495,9629,9696,9365,9088,9283,8633,590,590,74
8105,8030,8241,8432,7961,7825,7792,7224,379,362,77
4740,5016,5234,5684,5325,5020,4990,4835,357,245,79
509,819,1154,1261,1314,1372,1439,1553,1096,697,82
685,930,1280,1449,1490,1600,1764,1803,3296,2730,89
988,1199,1576,1721,1868,1914,2133,2176,3885,3097,92
852,1052,1350,1534,1594,1701,1816,1918,3382,2847,94
1260,1381,1509,1605,1567,1702,2529,1951,2955,2545,104
1013,1309,1732,1967,2026,2168,2298,2466,4636,3898,109
668,926,1265,1463,1510,1632,1761,1860,3386,2827,112
961,1191,1564,1774,1860,2016,2146,2247,4194,3614,114
841,1062,1432,1624,1726,1837,2028,2102,3783,3048,122
905,1181,1585,1799,1882,1985,2226,2301,3759,3310,129
839,1136,1512,1703,1785,1914,2133,2190,3560,3194,132
1190,1405,1639,1914,2064,2182,2409,2349,3416,2946,134
1746,1788,1689,1990,2445,2558,2635,2707,3601,3127,152
1004,1295,1580,1937,2319,2518,2574,2739,3989,3384,154
697,935,1059,1365,1803,2027,2084,2101,2698,2034,157
3413,3323,3088,3454,4160,4411,4580,4442,4124,3506,167
337,390,263,445,1137,1375,1186,1467,803,511,169
307,588,329,912,3181,4018,4111,4343,1949,991,177
255,502,266,762,3161,4248,4108,4505,1789,910,182
221,438,231,670,3061,4302,4158,4532,1437,684,192
281,487,252,758,3039,4456,4512,4713,1571,763,194
1310,998,632,1425,3693,4871,4451,5067,2268,1852,197
294,540,306,881,3359,4469,4501,4981,1756,835,199
322,592,346,948,3036,4029,4063,4408,1617,798,204
248,478,324,807,2368,3149,3341,3582,1494,785,207
412,579,403,847,2314,3009,2831,3585,1286,630,209
348,672,518,1151,2703,3246,3458,3752,1714,890,212
4065,3955,3689,4128,4812,5041,5135,5055,4246,3411,214
654,1031,961,1746,2917,3400,3607,3905,2006,1137,217
500,958,1041,1845,2896,3228,3323,3745,2425,1412,219
590,952,1191,1812,2449,2834,2921,3395,2459,1504,222
581,930,1281,1917,2295,2649,2852,3151,2581,1668,224
502,829,1281,1676,1893,2210,2351,2660,2829,1817,232
631,944,1451,1835,2045,2375,2642,2892,3131,2046,234
900,1350,2043,2563,2797,3152,3447,3792,4560,3120,244
794,1238,1882,2352,2594,3005,3219,3582,4422,3001,247
586,917,1366,1703,1965,2198,2231,2601,2615,1779,249
820,1190,1642,1987,2311,2551,2669,2869,4178,2958,257
749,1124,1438,1894,2336,2526,2680,2827,3898,2646,259
511,945,1027,1639,2465,2711,2847,3028,3377,2104,262
4699,4388,4090,4420,4677,4781,5074,4819,4697,4399,264
366,775,731,1324,2570,2994,3086,3215,3061,1803,267
335,834,537,1410,3190,3549,3740,3741,2570,1396,279
8507,8561,8611,9236,9480,9408,9495,9016,1136,1108,284
685,1173,891,1782,3556,3987,4399,4377,3151,1738,287
410,944,745,1709,3217,3621,3901,3964,2960,1655,292
427,926,724,1746,3197,3616,3898,3916,2649,1453,294
1318,1862,2020,2937,3711,4117,4359,4634,1543,913,312
373,996,1483,2290,2842,3260,3587,3693,3025,1705,319
439,1004,1618,2347,2797,3149,3481,3659,3702,2236,322
3055,3265,3948,4508,4760,4954,5422,5429,6244,5426,329
8195,8130,8325,8820,8284,8129,8022,7699,577,518,337
6664,6536,6965,8267,7872,7778,7308,7854,1501,1414,349
1350,1932,2820,3260,3711,3797,4390,4203,2946,2050,364
