id,code,path,sequencelength,classid,classname,region,mode
32603309,36,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Harvey\32603309.csv,83,14, Alfalfa,Harvey,train
29700918,36,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Harvey\29700918.csv,46,14, Alfalfa,Harvey,train
46011666,141,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Randolph\46011666.csv,36,12, Deciduous Forest,Randolph,train
9509698,37,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\9509698.csv,59,16, Other Hay/Non Alfalfa,Adams,train
10001568,152,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\10001568.csv,57,8, Shrubland,Adams,train
9800292,152,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\9800292.csv,59,8, Shrubland,Adams,train
24908410,176,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Garfield\24908410.csv,68,0, Grass/Pasture,Garfield,train
7807654,6,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\7807654.csv,58,11, Sunflower,Adams,train
18405649,190,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\18405649.csv,37,6, Woody Wetlands,Coahoma,train
17309197,190,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\17309197.csv,37,6, Woody Wetlands,Coahoma,train
42201830,4,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Haskell\42201830.csv,43,17, Sorghum,Haskell,train
13105387,190,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\13105387.csv,39,6, Woody Wetlands,Coahoma,train
29701019,36,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Harvey\29701019.csv,46,14, Alfalfa,Harvey,train
8005128,37,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\8005128.csv,58,16, Other Hay/Non Alfalfa,Adams,train
14505697,2,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\14505697.csv,38,5, Cotton,Coahoma,train
12409967,2,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\12409967.csv,39,5, Cotton,Coahoma,train
15005483,190,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\15005483.csv,40,6, Woody Wetlands,Coahoma,train
24100915,24,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Garfield\24100915.csv,67,3, Winter Wheat,Garfield,train
5704515,23,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\5704515.csv,55,4, Spring Wheat,Adams,train
8304667,22,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\8304667.csv,59,19, Durum Wheat,Adams,train
9900933,53,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\9900933.csv,59,18, Peas,Adams,train
3300457,22,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\3300457.csv,61,19, Durum Wheat,Adams,train
25707306,31,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Garfield\25707306.csv,75,10, Canola,Garfield,train
12800782,190,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\12800782.csv,42,6, Woody Wetlands,Coahoma,train
15401631,5,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Coahoma\15401631.csv,37,1, Soybeans,Coahoma,train
47201616,141,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Randolph\47201616.csv,28,12, Deciduous Forest,Randolph,train
5401461,37,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\5401461.csv,66,16, Other Hay/Non Alfalfa,Adams,train
6304582,1,D:\DadaX\PhD\Research\0. CurrentWork\data\US\2019\Adams\6304582.csv,54,2, Corn,Adams,train
